genre,score,writer,star,budget,gross,company,runtime
Crime,7.6,Simon Moore,Michael Douglas,48000000,207515725,Compulsion Inc.,147
Drama,6.6,Clark Gregg,Harrison Ford,100000000,291420351,Dreamworks Pictures,130
Animation,7.4,Chris Williams,David Spade,100000000,169661687,Walt Disney Animation Studios,78
Action,7.8,Hui-Ling Wang,Chow Yun-Fat,17000000,213525736,Asia Union Film & Entertainment Ltd.,120
Action,6.5,H.B. Halicki,Nicolas Cage,90000000,237202299,Touchstone Pictures,118
Comedy,5.5,Philip Stark,Ashton Kutcher,13000000,73180723,Twentieth Century Fox,83
Comedy,7.0,Greg Glienna,Ben Stiller,55000000,330444045,Universal Pictures,108
Action,7.1,Jim Wheat,Radha Mitchell,23000000,53187659,Polygram Filmed Entertainment,109
Action,5.8,Gary Scott Thompson,Kevin Bacon,95000000,190213455,Columbia Pictures,112
Drama,6.8,Karen Walton,Emily Perkins,5000000,2554,Copperheart Entertainment,108
Action,6.3,Marc Lawrence,Sandra Bullock,45000000,212742720,Castle Rock Entertainment,109
Comedy,7.5,Nick Hornby,John Cusack,30000000,47126295,Touchstone Pictures,113
Action,2.5,Corey Mandell,John Travolta,73000000,29725663,Warner Bros.,118
Horror,5.6,Kevin Williamson,David Arquette,40000000,161834276,Dimension Films,116
Comedy,7.5,Christopher Guest,Fred Willard,10000000,20789556,Castle Rock Entertainment,90
Comedy,6.7,Mitchell Kapner,Bruce Willis,41300000,106371651,Franchise Pictures,98
Drama,7.2,Joanne Harris,Juliette Binoche,25000000,152699976,Miramax,121
Drama,7.7,Lee Hall,Jamie Bell,5000000,109283018,StudioCanal,110
Drama,8.1,Guillermo Arriaga,Emilio Echevarría,2000000,20908467,Altavista Films,154
Comedy,6.6,Peter Farrelly,Jim Carrey,51000000,149270999,Twentieth Century Fox,116
Action,6.6,Jonathan Mostow,Matthew McConaughey,62000000,127666415,Universal Pictures,116
Comedy,6.0,Peter Cook,Brendan Fraser,48000000,90383208,Twentieth Century Fox,93
Animation,6.9,Terry Rossio,Kevin Kline,95000000,76432727,DreamWorks Animation,89
Animation,6.5,Thom Enriquez,D.B. Sweeney,127500000,349822765,Walt Disney Pictures,82
Comedy,6.2,Dr. Seuss,Jim Carrey,123000000,363597184,Universal Pictures,104
Crime,8.0,Lars von Trier,Björk,12800000,40059672,Zentropa Entertainments,140
Comedy,6.4,Josh Goldsmith,Mel Gibson,70000000,374111707,Paramount Pictures,127
Drama,6.7,Billy Bob Thornton,Cate Blanchett,10000000,44567606,Lakeshore Entertainment,111
Comedy,6.8,David Diamond,Nicolas Cage,60000000,124745083,Universal Pictures,125
Adventure,5.7,Lowell Cannon,Tim Robbins,100000000,110983407,Touchstone Pictures,114
Comedy,6.6,Vince McKewin,Keanu Reeves,50000000,50054511,Bel Air Entertainment,118
Comedy,6.2,Ice Cube,Ice Cube,11000000,59827328,New Line Cinema,98
Crime,6.5,John Wainwright,Morgan Freeman,25000000,1308242,Revelations Entertainment,110
Comedy,5.3,Tim Herlihy,Adam Sandler,85000000,58292295,Avery Pix,90
Crime,7.0,Ben Younger,Giovanni Ribisi,7000000,28780255,New Line Cinema,120
Comedy,6.7,Lowell Ganz,Natalie Portman,15000000,40863718,Twentieth Century Fox,120
Crime,7.3,Toby Emmerich,Dennis Quaid,31000000,68106245,New Line Cinema,118
Biography,7.2,Scott Marshall Smith,Cuba Gooding Jr.,32000000,82343495,Fox 2000 Pictures,129
Comedy,6.1,Susannah Grant,Sandra Bullock,43000000,62198945,Columbia Pictures,103
Drama,7.2,Gina Prince-Bythewood,Sanaa Lathan,20000000,27728118,40 Acres & A Mule Filmworks,124
Action,6.6,Miles Millar,Jackie Chan,55000000,99274467,Touchstone Pictures,110
Adventure,5.8,Angela Sommer-Bodenburg,Jonathan Lipnicki,35000000,27965865,Avrora Media,95
Biography,7.3,Doug Wright,Geoffrey Rush,13500000,17989227,Fox Searchlight Pictures,124
Drama,7.2,Catherine Ryan Hyde,Kevin Spacey,40000000,55707411,Warner Bros.,123
Action,5.9,Robert King,Scott Glenn,75000000,215663859,Columbia Pictures,124
Comedy,3.7,William Hanna,Mark Addy,83000000,59468275,Universal Pictures,90
Action,5.8,Ehren Kruger,Ben Affleck,42000000,32168970,Dimension Films,104
Action,4.9,Joel Soisson,Gerard Butler,54000000,47053625,Dimension Films,99
Adventure,4.9,Dodie Smith,Glenn Close,85000000,183611771,Cruella Productions,100
Action,5.7,Chuck Pfarrer,Val Kilmer,80000000,33463969,Warner Bros.,106
Action,3.7,Topper Lilien,Justin Whalin,45000000,33978694,New Line Cinema,107
Action,5.2,Ted Lewis,Sylvester Stallone,63600000,19412993,Morgan Creek Entertainment,102
Comedy,7.3,Michael Chabon,Michael Douglas,55000000,33426588,Mutual Film Company,107
Action,6.0,Ernest Tidyman,Samuel L. Jackson,46000000,107626125,Paramount Pictures,99
Drama,7.3,Mike Rich,Sean Connery,43000000,80049764,Columbia Pictures,136
Drama,6.7,Steven Pressfield,Will Smith,80000000,39459427,Twentieth Century Fox,126
Animation,6.6,Hans Bauer,Matt Damon,75000000,36754634,David Kirschner Productions,94
Adventure,5.1,Will McRobb,Chevy Chase,13000000,62464731,MFF Feature Film Productions,89
Crime,5.3,Darcy Meyers,James Spader,30000000,47267829,Lewitt / Eberts Productions,97
Action,5.6,John Pogue,Joshua Jackson,35000000,50802120,Universal Pictures,106
Action,6.1,Mitchell Kapner,Jet Li,25000000,91036760,Warner Bros.,115
Action,5.2,Darryl Quarles,Martin Lawrence,30000000,173959438,Twentieth Century Fox,99
Comedy,5.7,Peter Steinfeld,Danny DeVito,37000000,15910104,Code Entertainment,96
Comedy,6.4,Stuart Blumberg,Ben Stiller,29000000,59945183,Spyglass Entertainment,128
Drama,6.7,Carol Heikkinen,Amanda Schull,29000000,26385941,Columbia Pictures,115
Adventure,4.0,Daniel Myrick,Jeffrey Donovan,15000000,47737094,Artisan Entertainment,90
Drama,6.4,Jim Webb,Tommy Lee Jones,60000000,71732303,Seven Arts Pictures,128
Drama,7.3,David Self,Kevin Costner,80000000,66579890,New Line Cinema,145
Drama,7.5,Kenneth Lonergan,Laura Linney,1200000,11242521,Hart Sharp Entertainment,111
Comedy,6.1,Audrey Wells,Bruce Willis,65000000,110317580,Chester Films Inc.,104
Drama,5.8,Cormac McCarthy,Matt Damon,57000000,18133495,Columbia Pictures,116
Comedy,4.9,Delia Ephron,Diane Keaton,60000000,51880044,Columbia Pictures,94
Horror,4.9,William Malone,James Spader,90000000,14828081,Hammerhead Productions,90
Comedy,5.3,Amy Heckerling,Jason Biggs,20000000,18404706,Branti Film Productions,98
Comedy,5.0,Kris Isacsson,Freddie Prinze Jr.,11000000,24419914,Open City Films,91
Action,6.7,Christopher McQuarrie,Ryan Phillippe,8500000,13200972,Artisan Entertainment,119
Animation,4.2,Jay Ward,Robert De Niro,76000000,35134820,Capella International,92
Comedy,6.2,John Waters,Melanie Griffith,10000000,1961544,Artic Productions LLC,87
Comedy,4.4,Jerry Lewis,Eddie Murphy,84000000,166339890,Universal Pictures,106
Crime,6.9,Jean-Christophe Grangé,Jean Reno,14000000,60103680,Légende Films,106
Action,6.3,Tony Gilroy,Meg Ryan,65000000,62761005,Castle Rock Entertainment,135
Comedy,6.6,Spike Lee,Damon Wayans,10000000,2463650,New Line Cinema,135
Drama,6.9,Steven Katz,John Malkovich,8000000,11155214,Saturn Films,92
Adventure,4.2,Britt Allcroft,Alec Baldwin,19000000,19748009,Gullane Pictures,85
Drama,7.0,Ross Klavan,Colin Farrell,10000000,148701,Haft Entertainment,101
Comedy,6.9,Bonnie Hunt,David Duchovny,24000000,36609995,Metro-Goldwyn-Mayer (MGM),115
Comedy,5.4,Andrew Lowery,Freddie Prinze Jr.,35000000,25850615,Punch 21 Productions,94
Comedy,5.5,Mark Schwahn,Shane West,32000000,9902115,Columbia Pictures,94
Comedy,6.6,Mike White,Mike White,250000,1182065,Artisan Entertainment,96
Drama,5.6,Allison Burnett,Richard Gere,65000000,90726668,Metro-Goldwyn-Mayer (MGM),103
Biography,7.0,Steven Naifeh,Ed Harris,6000000,10994533,Brant-Allen,122
Action,5.7,Wayne Beach,Wesley Snipes,60000000,40400425,Morgan Creek Entertainment,117
Action,4.5,Alan B. McElroy,Kirk Cameron,4000000,4224065,Cloud Ten Pictures,96
Comedy,6.2,Charles Busch,Lauren Ambrose,1500000,268117,New Oz Productions,95
Action,5.8,Andrew Scheinman,Jamie Foxx,51000000,15471969,Castle Rock Entertainment,119
Comedy,6.9,Mark Crowdy,Brenda Blethyn,10000000,28741330,Portman Entertainment Group,93
Drama,6.0,William Shakespeare,Ethan Hawke,2000000,2046433,double A Films,112
Drama,7.0,Kim Ki-duk,Jung Suh,1000000,24963,Myung Film Company Ltd.,90
Action,4.6,Gregory Widen,Christopher Lambert,25000000,15843608,Davis-Panzer Productions,87
Comedy,4.6,Anne Rapp,Richard Gere,23000000,22844291,Artisan Entertainment,122
Crime,6.4,James Gray,Mark Wahlberg,24000000,924036,Miramax,115
Horror,4.3,Silvio Horta,Jennifer Morrison,14000000,38574362,Phoenix Pictures,97
Comedy,5.3,Vera Blasi,Penélope Cruz,8000000,10194274,Fox Searchlight Pictures,92
Comedy,5.4,Steven Brill,David Arquette,24000000,12452362,Bel Air Entertainment,107
Comedy,5.2,Tim Meadows,Tim Meadows,24000000,13743212,Broadway Pictures,84
Drama,6.9,Rod Lurie,Joan Allen,20000000,22428990,Cinerenta Medienbeteiligungs KG,126
Crime,7.9,Fabián Bielinsky,Ricardo Darín,1500000,12413888,FX Sound,114
Comedy,7.0,Greg Berlanti,Timothy Olyphant,1000000,2019121,Banner Entertainment,94
Drama,4.7,Mark Gibson,Lori Heuring,24000000,5280035,Morgan Creek Entertainment,105
Drama,6.8,Karyn Kusama,Michelle Rodriguez,1000000,1666028,Green/Renzi,110
Drama,5.9,Gregory Poirier,James Marsden,24000000,12591270,NPV Entertainment,90
Drama,6.5,Scott Spencer,Billy Crudup,8500000,270745,Polygram Filmed Entertainment,105
Comedy,7.0,Willie Morris,Frankie Muniz,6000000,35547761,Alcon Entertainment,95
Comedy,6.1,John Byrum,Huey Lewis,21000000,6620242,Hollywood Pictures,112
Crime,5.9,Anita Shreve,Catherine McCormack,16000000,321279,StudioCanal,114
Comedy,5.0,Adam Resnick,John Travolta,63000000,10890222,Paramount Pictures,105
Crime,6.6,Edward Bunker,Willem Dafoe,3600000,43805,Animal Productions LLC,94
Crime,5.1,Cathy Cash Spellman,Kim Basinger,65000000,40443010,Paramount Pictures,107
Animation,6.2,J. David Stem,Christine Cavanaugh,30000000,103291131,Paramount Pictures,78
Comedy,6.7,Woody Allen,Woody Allen,25000000,29934477,Dreamworks Pictures,94
Drama,5.7,Don Roos,Ben Affleck,35000000,53425292,Miramax,106
Comedy,6.2,John C. Richards,Renée Zellweger,35000000,29364989,Gramercy Pictures (I),110
Romance,7.0,Edith Wharton,Gillian Anderson,10000000,5164404,Three Rivers Production,135
Comedy,5.6,Jon Bernstein,Minnie Driver,14000000,3169930,Destination Films,112
Drama,5.2,Michael Seitzman,Chris Klein,15000000,10873148,Fox 2000 Pictures,96
Drama,5.9,Nicholas Klein,Jeremy Davies,8000000,105983,Icon Entertainment International,122
Animation,6.4,Eddie Guzelian,Jim Cummings,30000000,96159800,Disney Television Animation,77
Comedy,5.6,Garry Shandling,Garry Shandling,60000000,14145677,Brillstein-Grey Entertainment,105
Comedy,5.1,Lisa Krueger,Heather Graham,3000000,40361,Miramax,98
Drama,7.1,Isabel Ellsen,Andie MacDowell,8000000,3033646,7 Films Cinéma,121
Action,5.8,James Gunn,Rob Lowe,1000000,13276,Brillstein-Grey Entertainment,82
Romance,6.0,William Shakespeare,Alessandro Nivola,13000000,299792,Pathé Pictures International,93
Drama,4.8,Pierce Gardner,Winona Ryder,50000000,31355910,Prufrock Pictures,97
Drama,5.9,Henry James,Uma Thurman,15000000,5753678,Merchant Ivory Productions,130
Animation,6.1,Akiyoshi Hongo,Lara Jill Miller,5000000,16643191,Saban Entertainment,82
Comedy,4.7,Tom Ropelewski,Madonna,25000000,24362772,Lakeshore Entertainment,108
Comedy,5.7,Eric Blakeney,Liam Neeson,14000000,3284444,Hollywood Pictures,101
Adventure,7.6,J.K. Rowling,Daniel Radcliffe,125000000,1006968171,Warner Bros.,152
Action,6.8,Ken Li,Vin Diesel,38000000,207305509,Universal Pictures,106
Action,8.8,J.R.R. Tolkien,Elijah Wood,93000000,897690072,New Line Cinema,178
Comedy,6.3,Amanda Brown,Reese Witherspoon,18000000,141774679,Metro-Goldwyn-Mayer (MGM),96
Drama,7.9,David Lynch,Naomi Watts,15000000,20263646,Les Films Alain Sarde,147
Animation,8.1,Pete Docter,Billy Crystal,115000000,579707738,Pixar Animation Studios,92
Animation,8.6,Hayao Miyazaki,Daveigh Chase,19000000,355475245,Tokuma Shoten,125
Drama,8.0,Richard Kelly,Jake Gyllenhaal,6000000,6981586,Pandora Cinema,113
Comedy,5.7,Mike Bender,Chyler Leigh,15000000,66468985,Columbia Pictures,89
Comedy,5.3,Shawn Wayans,Anna Faris,45000000,141220678,Dimension Films,83
Crime,7.7,George Clayton Johnson,George Clooney,85000000,450717150,Warner Bros.,116
Animation,7.9,William Steig,Mike Myers,60000000,487853320,DreamWorks Animation,90
Drama,7.7,Mark Bowden,Josh Hartnett,92000000,172989651,Revolution Studios,144
Biography,8.2,Akiva Goldsman,Russell Crowe,58000000,316791257,Universal Pictures,135
Action,6.4,Stephen Sommers,Brendan Fraser,98000000,443280904,Universal Pictures,130
Action,6.2,Randall Wallace,Ben Affleck,140000000,449220945,Touchstone Pictures,183
Comedy,7.6,Wes Anderson,Gene Hackman,21000000,71444482,Touchstone Pictures,110
Comedy,8.3,Guillaume Laurant,Audrey Tautou,10000000,173997108,Claudie Ossard Productions,122
Crime,7.7,David Ayer,Denzel Washington,45000000,104876233,Warner Bros.,122
Drama,7.2,Brian Aldiss,Haley Joel Osment,100000000,235926552,Warner Bros.,146
Comedy,7.3,Daniel Clowes,Steve Buscemi,7000000,8764007,United Artists,111
Comedy,7.1,Jay Chandrasekhar,Jay Chandrasekhar,3000000,23182223,Fox Searchlight Pictures,100
Action,6.9,Brian Helgeland,Heath Ledger,65000000,117487473,Columbia Pictures,132
Biography,7.6,Bruce Porter,Johnny Depp,53000000,83282296,Apostle,124
Crime,6.8,Thomas Harris,Anthony Hopkins,87000000,351692268,Metro-Goldwyn-Mayer (MGM),131
Comedy,6.4,Meg Cabot,Julie Andrews,26000000,165335153,Walt Disney Pictures,111
Drama,7.6,Baz Luhrmann,Nicole Kidman,50000000,184935320,Twentieth Century Fox,127
Fantasy,6.9,Alejandro Amenábar,Tom Cruise,68000000,203388341,Paramount Pictures,136
Fantasy,5.6,Robb White,Tony Shalhoub,42000000,68467960,Warner Bros.,91
Action,5.7,Pierre Boulle,Mark Wahlberg,100000000,362211740,Twentieth Century Fox,119
Horror,7.6,Alejandro Amenábar,Nicole Kidman,17000000,209947037,Cruise/Wagner Productions,104
Adventure,6.0,David Spade,David Spade,17700000,30987695,Columbia Pictures,91
Animation,6.9,Tab Murphy,Michael J. Fox,120000000,186053725,Walt Disney Animation Studios,95
Action,6.4,Andy Breckman,Breckin Meyer,48000000,85498534,Paramount Pictures,112
Comedy,5.1,Kevin Falls,Freddie Prinze Jr.,34000000,19772447,Warner Bros.,104
Comedy,6.6,Michael Showalter,Janeane Garofalo,5000000,295206,Eureka Pictures,97
Comedy,5.9,Sean Moynihan,Jack Black,40000000,141069860,Twentieth Century Fox,114
Comedy,6.5,Drake Sather,Ben Stiller,28000000,60780981,Paramount Pictures,90
Action,5.9,Michael Crichton,Sam Neill,93000000,368780809,Universal Pictures,92
Drama,7.6,Jean-Jacques Annaud,Jude Law,68000000,96976270,Paramount Pictures,131
Comedy,7.2,Julian Fellowes,Maggie Smith,19800000,87754044,USA Films,131
Action,6.5,Skip Woods,John Travolta,102000000,147080413,Hollywood Licensing Group,99
Horror,6.2,Victor Salva,Gina Philips,10000000,59371303,United Artists,90
Drama,6.4,Daniel Coyle,Keanu Reeves,32000000,44102389,Paramount Pictures,106
Comedy,6.1,Don Jakoby,David Duchovny,80000000,98376292,Columbia Pictures,101
Drama,6.1,Cornell Woolrich,Antonio Banderas,42000000,35402320,Metro-Goldwyn-Mayer (MGM),116
Action,5.5,Robert Rodriguez,Alexa PenaVega,35000000,147934180,Dimension Films,88
Action,6.4,Jim Thomas,Gene Hackman,40000000,91753202,Twentieth Century Fox,106
Comedy,6.7,Helen Fielding,Renée Zellweger,25000000,281995610,Miramax,97
Drama,7.6,Kristine Johnson,Sean Penn,22000000,97818139,New Line Cinema,132
Action,7.0,David Scarpa,Robert Redford,72000000,27642707,Dreamworks Pictures,131
Action,7.1,Michael Frost Beckner,Robert Redford,115000000,143049560,Universal Pictures,126
Action,5.8,Sara B. Cooper,Angelina Jolie,115000000,274703340,Paramount Pictures,100
Comedy,6.4,Adam Herz,Jason Biggs,30000000,287553595,LivePlanet,108
Crime,7.2,Brent Hanley,Bill Paxton,11000000,17423030,David Kirschner Productions,100
Drama,6.4,James Patterson,Morgan Freeman,60000000,105178561,Paramount Pictures,104
Action,6.6,Ross LaManna,Jackie Chan,90000000,347325802,New Line Cinema,90
Drama,6.2,Duane Adler,Julia Stiles,13000000,131706809,Cort/Madden Productions,112
Crime,5.6,Lewis Colick,John Travolta,75000000,54249294,Paramount Pictures,89
Biography,6.5,Beverly D'Onofrio,Drew Barrymore,48000000,35743308,Columbia Pictures,132
Comedy,4.8,Tom Brady,Rob Schneider,47000000,85191134,Revolution Studios,84
Comedy,6.3,Dustin Lee Abraham,Method Man,20000000,31283740,Jersey Films,93
Action,6.6,Clay Tarver,Steve Zahn,23000000,36642838,New Regency Productions,97
Action,6.0,Richard Recco,Kurt Russell,62000000,18720175,Franchise Pictures,125
Action,6.8,Daniel E. Taylor,Robert De Niro,68000000,114252154,Paramount Pictures,124
Action,4.4,Victor Miller,Kane Hodder,11000000,17077882,New Line Cinema,92
Comedy,6.8,Kevin Smith,Jason Mewes,22000000,33788161,Dimension Films,104
Adventure,6.1,J.H. Wyman,Brad Pitt,57000000,147845033,Dreamworks Pictures,123
Horror,6.8,Alan Moore,Johnny Depp,35000000,74558115,Twentieth Century Fox,122
Action,4.8,Paul Hogan,Paul Hogan,21150000,39438674,Bungalow Productions,95
Action,6.5,David Mamet,Gene Hackman,39000000,28510652,Morgan Creek Entertainment,109
Comedy,6.9,Marc Klein,John Cusack,28000000,77516304,Miramax,90
Action,7.0,Stéphane Cabel,Samuel Le Bihan,29000000,70752904,Metropolitan Filmexport,142
Crime,6.8,Friedrich Dürrenmatt,Jack Nicholson,35000000,29419291,Morgan Creek Entertainment,124
Action,6.0,Roderick Taylor,Colin Farrell,35000000,13678913,Morgan Creek Entertainment,94
Action,4.9,Larry Sulkis,Natasha Henstridge,28000000,14010832,Screen Gems,98
Crime,7.5,Joel Coen,Billy Bob Thornton,20000000,18916623,Good Machine,116
Drama,6.3,John Stockwell,Mark Wahlberg,57000000,19334145,Warner Bros.,105
Animation,6.3,Marc Hyman,Laurence Fishburne,70000000,14026418,Warner Bros.,95
Comedy,5.9,Hank Nelken,Jason Biggs,22000000,26086706,Columbia Pictures,90
Crime,5.8,Wesley Strick,Diane Lane,30000000,23619609,Columbia Pictures,106
Comedy,5.3,Pamela Falk,Jennifer Lopez,35000000,94728529,Columbia Pictures,103
Comedy,6.2,Robert Dunn,Sigourney Weaver,35000000,57756408,Davis Entertainment,123
Horror,6.4,Brad Anderson,David Caruso,1500000,1612259,USA Films,97
Comedy,6.3,Jon Zack,Flex Alexander,24000000,14782676,Touchstone Pictures,89
Comedy,7.7,John Cameron Mitchell,John Cameron Mitchell,6000000,3645107,Killer Films,95
Crime,6.4,John Singleton,Alexsandra Wright,16000000,29381649,Columbia Pictures,130
Drama,7.4,Gene Brewer,Kevin Spacey,68000000,65001485,IMF Internationale Medien und Film GmbH & Co. 2. Produktions KG,120
Comedy,4.6,Tom Green,Tom Green,14000000,14343028,New Regency Productions,87
Drama,6.7,Herman Raucher,Keanu Reeves,40000000,65754228,Warner Bros.,119
Comedy,6.4,Steven Rogers,Meg Ryan,48000000,76019048,Konrad Pictures,118
Drama,6.3,Andrew Klavan,Michael Douglas,50000000,100020092,New Regency Productions,113
Biography,6.8,Gregory Allen Howard,Will Smith,107000000,87812729,Columbia Pictures,157
Drama,7.5,Mark Andrus,Hayden Christensen,27000000,23903791,Winkler Films,125
Comedy,5.4,Gregory Poirier,Shannon Elizabeth,11000000,23430766,Revolution Studios,95
Comedy,6.5,Harley Peyton,Bruce Willis,75000000,67631903,Metro-Goldwyn-Mayer (MGM),123
Animation,4.8,Kaja Blackley,Brendan Fraser,75000000,7622365,Twentieth Century Fox,93
Crime,7.4,Andre Dubus,Tom Wilkinson,1700000,44763181,Good Machine,131
Action,5.3,Louis C.K.,Chris Rock,7000000,3313583,Paramount Pictures,81
Adventure,5.6,Cinco Paul,Jake Gyllenhaal,13000000,5007898,Bandeira Entertainment,84
Comedy,5.5,Deborah Kaplan,Rachael Leigh Cook,39000000,14866015,Universal Pictures,98
Drama,7.4,Guillermo del Toro,Marisa Paredes,4500000,6582065,El Deseo,106
Action,7.3,Stephen Chow,Stephen Chow,10000000,42776760,Star Overseas,87
Animation,6.0,John A. Davis,Debi Derryberry,30000000,102992536,Paramount Pictures,82
Action,4.6,Jan Skrentny,Sylvester Stallone,94000000,54744738,Franchise Pictures,116
Comedy,5.7,R. Lee Fleming Jr.,Kirsten Dunst,22000000,19900366,Miramax,87
Action,5.6,Ed Horowitz,Steven Seagal,50000000,79958599,Warner Bros.,101
Drama,6.9,Michael Sloane,Jim Carrey,72000000,37317673,Castle Rock Entertainment,152
Horror,4.8,Tom Savage,Denise Richards,29000000,36684136,Warner Bros.,96
Animation,6.4,Hironobu Sakaguchi,Alec Baldwin,137000000,85131830,Chris Lee Productions,106
Action,5.9,Glen Morgan,Jet Li,49000000,74005691,Revolution Studios,87
Comedy,5.7,Mandy Nelson,Marla Sokoloff,27000000,16923761,New Line Cinema,81
Action,5.1,John Requa,Alec Baldwin,60000000,200687492,Warner Bros.,87
Drama,6.9,Stephen King,Anthony Hopkins,31000000,30919415,Castle Rock Entertainment,101
Comedy,5.7,Billy Crystal,Julia Roberts,46000000,138307673,Revolution Studios,102
Action,6.6,Jet Li,Jet Li,25000000,64437847,Twentieth Century Fox,98
Drama,5.9,Shawn Slovo,Nicolas Cage,57000000,62112895,Universal Pictures,131
Drama,7.1,Henry Bean,Ryan Gosling,1500000,1309316,Fuller Films,98
Comedy,6.1,Laura Zigman,Ashley Judd,23000000,38689940,Fox 2000 Pictures,97
Comedy,6.2,John le Carré,Pierce Brosnan,21000000,28008462,Columbia Pictures,109
Action,6.3,Stel Pavlou,Samuel L. Jackson,27000000,12881605,Alliance Atlantis Communications,93
Action,6.1,John Herzfeld,Robert De Niro,60000000,56359980,New Line Cinema,120
Biography,7.0,John Bayley,Judi Dench,5500000,16153953,British Broadcasting Corporation (BBC),91
Drama,6.4,Phil Hay,Kirsten Dunst,13000000,19937988,Touchstone Pictures,99
Drama,5.6,Gerald Di Pego,Jennifer Lopez,53000000,29715606,Franchise Pictures,102
Drama,7.4,Karan Johar,Shah Rukh Khan,7500000,11334547,Dharma Productions,210
Comedy,6.8,Robert O'Connor,Joaquin Phoenix,15000000,2300684,FilmFour,98
Action,4.8,Alexandre Dumas,Justin Chambers,40000000,32533802,Centurion,104
Drama,6.1,William Shakespeare,Mekhi Phifer,5000000,19260537,Chickie the Cop,95
Comedy,6.1,Tom Butterworth,Nicole Kidman,13000000,16171098,FilmFour,93
Comedy,6.4,Jon Favreau,Vince Vaughn,5000000,5480653,Artisan Entertainment,95
Comedy,6.1,Stan Seidel,Liv Tyler,18000000,13578186,October Films,93
Comedy,4.7,Hugh Lofting,Eddie Murphy,70000000,176104344,Twentieth Century Fox,87
Comedy,5.4,David L. Watts,Alex D. Linz,25000000,18634654,Walt Disney Pictures,86
Horror,3.9,Stephen Carpenter,Melissa Sagemiller,17000000,4299141,Lost Soul Productions,84
Adventure,4.9,Darryl Quarles,Martin Lawrence,50000000,39976235,Twentieth Century Fox,95
Drama,6.7,Annie Proulx,Kevin Spacey,38000000,24690441,Miramax,111
Crime,6.6,Elisabeth Sanxay Holding,Tilda Swinton,3000000,10031529,i5 Films,101
Comedy,6.5,Heather Juergensen,Jennifer Westfeldt,1000000,10013424,Fox Searchlight Pictures,97
Action,6.1,Howard Franklin,Ryan Phillippe,30000000,18195610,Metro-Goldwyn-Mayer (MGM),108
Adventure,5.8,Jean-Marie Poiré,Jean Reno,35000000,16176732,Gaumont,88
Crime,7.1,Stephen M. Ryder,Brian Cox,700000,1846059,Alter Ego Entertainment,97
Comedy,4.8,DJ Pooh,Dr. Dre,7000000,10229331,Lions Gate Films,93
Crime,4.3,Adam Simon,Snoop Dogg,16000000,8378853,New Line Cinema,96
Comedy,5.0,Peter Gaulke,Chris Klein,25000000,12320393,Twentieth Century Fox,95
Action,5.2,George Durham,James Van Der Beek,38000000,763740,Greisman Productions,90
Comedy,5.5,Donald E. Westlake,Martin Lawrence,60000000,38464131,Metro-Goldwyn-Mayer (MGM),94
Comedy,5.5,John J. Strauss,Monica Potter,14000000,13127022,Universal Pictures,86
Drama,2.3,Cheryl L. West,Mariah Carey,22000000,5271666,Twentieth Century Fox,104
Comedy,5.4,Elaine May,Chris Rock,49000000,71186502,3 Arts Entertainment,87
Drama,7.2,Stephen Belber,Ethan Hawke,100000,515900,Detour Filmproduction,86
Action,5.4,George Gallo,David Arquette,35000000,43057552,Warner Bros.,94
Comedy,6.2,Mark Brown,Vivica A. Fox,13000000,22391450,Screen Gems,90
Drama,6.2,Philip K. Dick,Shane Brolly,30000000,8694320,Dimension Films,95
Animation,7.2,Osamu Tezuka,Toshio Furukawa,15000000,4035192,Bandai Visual Company,108
Drama,6.1,John Sweet,Hilary Swank,30000000,1198113,Alcon Entertainment,118
Comedy,6.8,Nicole Holofcener,Catherine Keener,250000,4677852,Blow Up Pictures,91
Comedy,4.7,David Garrett,Chris Kattan,11000000,25272752,Touchstone Pictures,86
Animation,6.6,Paul Germain,Andrew Lawrence,23000000,44460850,Disney Television Animation,82
Adventure,6.4,Mitch Davis,Christopher Gorham,7000000,4760014,3Mark Entertainment,113
Drama,7.0,Miklos Nyiszli,David Arquette,5000000,621592,Killer Films,108
Comedy,5.8,Paul Felopulos,Steve Martin,8000000,2534372,Artisan Entertainment,95
Drama,6.4,Sebastian Faulks,Cate Blanchett,20000000,5323109,Ecosse Films,121
Comedy,6.7,Woody Allen,Greg Stebner,33000000,18914307,Dreamworks Pictures,103
Action,7.3,Stan Lee,Tobey Maguire,139000000,825025036,Columbia Pictures,121
Action,6.4,Tom Clancy,Ben Affleck,68000000,193921372,Paramount Pictures,124
Drama,7.1,Scott Silver,Eminem,41000000,242875078,Imagine Entertainment,110
Biography,8.5,Ronald Harwood,Adrien Brody,35000000,120072577,R.P. Productions,150
Adventure,7.4,J.K. Rowling,Daniel Radcliffe,100000000,879602366,Warner Bros.,161
Action,8.7,J.R.R. Tolkien,Elijah Wood,94000000,947495095,New Line Cinema,179
Crime,7.7,Max Allan Collins,Tom Hanks,80000000,181001478,Dreamworks Pictures,117
Action,6.7,Paul W.S. Anderson,Milla Jovovich,33000000,102984862,Constantin Film,100
Biography,8.1,Jeff Nathanson,Leonardo DiCaprio,52000000,352114312,Dreamworks Pictures,141
Drama,7.6,Alex Garland,Cillian Murphy,8000000,85720385,DNA Films,113
Horror,7.1,Ehren Kruger,Naomi Watts,48000000,249348933,Dreamworks Pictures,115
