rating,genre,score,director,star,budget,gross,company,runtime
PG-13,Action,5.7,Andrew Fleming,Albert Brooks,40000000,26891849,Franchise Pictures,98
R,Crime,6.7,James Foley,Edward Burns,15000000,23014206,Lions Gate Films,97
R,Comedy,7.0,C. Jay Cox,Wes Ramsey,850000,865028,Funny Boy Films,107
R,Adventure,6.5,Martin Campbell,Clive Owen,35000000,11705002,Mandalay Pictures,127
PG-13,Comedy,5.6,Jonathan Lynn,Cuba Gooding Jr.,30000000,33972062,Paramount Pictures,123
R,Comedy,6.3,Woody Allen,Woody Allen,18000000,13585075,Dreamworks Pictures,108
R,Drama,6.9,Tim Fywell,Romola Garai,8000000,6586341,BBC Films,113
G,Animation,5.4,Steve Trenbirth,John Goodman,20000000,186303759,Disney Television Animation,72
PG-13,Comedy,4.7,David Zucker,Ashton Kutcher,14000000,18191005,Dimension Films,86
PG-13,Comedy,5.6,Chris Koch,Jason Lee,20000000,17432163,Metro-Goldwyn-Mayer (MGM),101
R,Comedy,6.8,John Crowley,Cillian Murphy,5000000,5175215,British Broadcasting Corporation (BBC),105
R,Drama,6.8,David Gordon Green,Zooey Deschanel,2500000,579986,Jasmine Productions Inc.,108
PG,Comedy,2.1,Robert Iscove,Kelly Clarkson,12000000,4928883,19 Entertainment,81
R,Crime,7.1,Richard Kwietniowski,Philip Seymour Hoffman,10000000,1271244,Alliance Atlantis Communications,104
PG-13,Comedy,5.5,Chris Rock,Chris Rock,35200000,38620484,Dreamworks Pictures,95
R,Comedy,5.5,Keith Gordon,Robert Downey Jr.,8000000,435625,Icon Productions,109
PG-13,Comedy,7.0,Peter Hedges,Katie Holmes,300000,3282321,United Artists,80
R,Drama,6.2,Michael Winterbottom,Tim Robbins,7500000,886018,BBC Films,93
R,Horror,5.2,Brian Helgeland,Heath Ledger,38000000,11560806,Twentieth Century Fox,102
R,Biography,6.9,Joel Schumacher,Cate Blanchett,17000000,9439660,Touchstone Pictures,98
R,Crime,6.3,Damian Nieman,Joe Nicolo,10000000,459098,Cobalt Media Group,101
R,Drama,6.8,Roger Michell,Anne Reid,2500000,3039587,BBC Films,112
PG,Animation,5.6,John Eng,Jodi Carlisle,25000000,55250496,Klasky-Csupo,80
PG-13,Biography,6.6,Eric Till,Joseph Fiennes,30000000,29632684,Eikon Film,123
PG-13,Action,6.7,Ryan Little,Corbin Allred,780000,1310470,Go Films,90
Not Rated,Action,5.8,Gérard Krawczyk,Samy Naceri,1300000,65497208,EuropaCorp,84
PG-13,Drama,6.3,Robert Altman,Neve Campbell,15000000,6415017,Sony Pictures Classics,112
PG,Comedy,5.1,John Hoffman,Liam Aiken,18000000,45490616,Metro-Goldwyn-Mayer (MGM),87
PG-13,Comedy,5.6,Clare Kilner,Mandy Moore,16000000,14390329,Focus Features,101
R,Comedy,6.7,Luke Greenfield,Emile Hirsch,25000000,30381722,New Regency Productions,109
R,Comedy,6.6,Jeff Schaffer,Scott Mechlowicz,25000000,22605153,Dreamworks Pictures,92
PG-13,Comedy,6.7,Rawson Marshall Thurber,Ben Stiller,20000000,168423227,Twentieth Century Fox,92
PG-13,Comedy,5.6,Keenen Ivory Wayans,Marlon Wayans,37000000,113100873,Revolution Studios,109
PG-13,Comedy,7.0,Mark Waters,Lindsay Lohan,17000000,130126277,Paramount Pictures,97
PG,Adventure,7.9,Alfonso Cuarón,Daniel Radcliffe,130000000,797361618,Warner Bros.,142
R,Drama,7.2,Wolfgang Petersen,Brad Pitt,175000000,497409852,Warner Bros.,163
R,Drama,8.3,Michel Gondry,Jim Carrey,20000000,74036715,Focus Features,108
R,Action,8.0,Quentin Tarantino,Uma Thurman,30000000,154118820,Miramax,137
PG-13,Drama,7.8,Nick Cassavetes,Gena Rowlands,29000000,117815157,New Line Cinema,123
PG-13,Comedy,7.4,Steven Spielberg,Tom Hanks,60000000,219100084,Dreamworks Pictures,128
PG-13,Action,6.1,Stephen Sommers,Hugh Jackman,160000000,300157638,Universal Pictures,131
PG,Animation,8.0,Brad Bird,Craig T. Nelson,92000000,631607053,Pixar Animation Studios,115
R,Horror,7.6,James Wan,Cary Elwes,1200000,103911669,Evolution Entertainment,103
R,Crime,7.5,Michael Mann,Tom Cruise,65000000,220239925,Paramount Pictures,120
PG-13,Biography,7.5,Martin Scorsese,Leonardo DiCaprio,110000000,213719942,Forward Pass,170
PG-13,Action,7.3,Sam Raimi,Tobey Maguire,200000000,788976453,Columbia Pictures,127
R,Action,6.4,Jonathan Hensleigh,Thomas Jane,33000000,54700105,Lions Gate Films,124
PG-13,Action,7.1,Alex Proyas,Will Smith,120000000,353133898,Twentieth Century Fox,115
PG,Animation,8.2,Hayao Miyazaki,Chieko Baishô,24000000,236214446,Buena Vista Home Entertainment,119
PG-13,Comedy,6.4,James L. Brooks,Adam Sandler,80000000,55470154,Columbia Pictures,131
PG-13,Drama,8.1,Clint Eastwood,Hilary Swank,30000000,216763646,Warner Bros.,132
PG-13,Drama,6.5,M. Night Shyamalan,Sigourney Weaver,60000000,256697520,Touchstone Pictures,108
R,Drama,7.6,Eric Bress,Ashton Kutcher,13000000,96822421,BenderSpink,113
PG-13,Action,6.4,Roland Emmerich,Dennis Quaid,125000000,552639571,Twentieth Century Fox,124
PG,Comedy,6.9,Jared Hess,Jon Heder,400000,46138887,Fox Searchlight Pictures,96
PG-13,Comedy,6.8,Peter Segal,Adam Sandler,75000000,198520934,Columbia Pictures,99
R,Action,7.7,Tony Scott,Denzel Washington,70000000,130834852,Fox 2000 Pictures,146
PG-13,Comedy,6.2,Gary Winick,Jennifer Garner,37000000,96455697,Revolution Studios,98
PG,Animation,7.2,Andrew Adamson,Mike Myers,150000000,928760770,Dreamworks Pictures,93
R,Crime,7.7,Paul Haggis,Don Cheadle,6500000,98410061,Bob Yari Productions,112
PG-13,Action,7.7,Paul Greengrass,Matt Damon,75000000,290835269,Universal Pictures,108
R,Action,7.3,Zack Snyder,Sarah Polley,26000000,102278712,Strike Entertainment,101
R,Drama,7.2,Mel Gibson,Jim Caviezel,30000000,612054506,Icon Productions,127
R,Action,6.2,Alexander Witt,Milla Jovovich,45000000,129342769,Screen Gems,94
PG-13,Action,6.8,Guillermo del Toro,Ron Perlman,66000000,99378985,Revolution Studios,122
PG-13,Comedy,7.2,Adam McKay,Will Ferrell,26000000,90709367,Dreamworks Pictures,94
PG-13,Action,6.3,Kevin Bray,Dwayne Johnson,46000000,57223890,Metro-Goldwyn-Mayer (MGM),86
R,Action,7.3,Wes Anderson,Bill Murray,50000000,34809623,Touchstone Pictures,119
PG,Adventure,6.8,Brad Silberling,Jim Carrey,140000000,211468235,Paramount Pictures,108
R,Drama,7.7,Brad Anderson,Christian Bale,5000000,8203235,Filmax Group,101
PG-13,Drama,7.2,Joel Schumacher,Gerard Butler,70000000,154649125,Warner Bros.,143
R,Drama,7.2,Mike Nichols,Natalie Portman,27000000,115505027,Columbia Pictures,104
PG,Action,6.9,Jon Turteltaub,Nicolas Cage,100000000,347512318,Walt Disney Pictures,131
R,Action,5.6,Oliver Stone,Colin Farrell,155000000,167298192,Warner Bros.,175
R,Action,6.7,David Twohy,Vin Diesel,105000000,115900534,Universal Pictures,119
R,Drama,6.6,Jonathan Demme,Denzel Washington,80000000,96105910,Paramount Pictures,129
PG-13,Action,6.3,Antoine Fuqua,Clive Owen,120000000,203567857,Touchstone Pictures,126
PG-13,Crime,6.5,Steven Soderbergh,George Clooney,110000000,362744280,Warner Bros.,125
R,Adventure,7.0,Danny Leiner,John Cho,9000000,23936908,Endgame Entertainment,88
R,Action,5.8,David S. Goyer,Wesley Snipes,65000000,131977904,New Line Cinema,113
PG-13,Action,5.6,Paul W.S. Anderson,Sanaa Lathan,60000000,177427090,Twentieth Century Fox,101
PG-13,Comedy,6.3,Jay Roach,Ben Stiller,80000000,522657936,Universal Pictures,115
R,Comedy,7.5,Alexander Payne,Paul Giamatti,16000000,109706931,Fox Searchlight Pictures,127
PG-13,Action,7.2,Peter Berg,Billy Bob Thornton,30000000,61950770,Universal Pictures,118
PG-13,Comedy,6.1,Todd Phillips,Ben Stiller,60000000,170268750,Dimension Films,101
PG,Animation,6.0,Bibo Bergeron,Will Smith,75000000,374583879,DreamWorks Animation,90
R,Drama,8.1,Richard Linklater,Ethan Hawke,2700000,15936507,Warner Independent Pictures (WIP),80
PG,Comedy,6.3,Tommy O'Haver,Anne Hathaway,31000000,27388767,Miramax,96
PG-13,Drama,6.9,Shane Carruth,Shane Carruth,7000,545436,ERBP,77
PG,Comedy,5.9,Mark Rosman,Hilary Duff,19000000,70067909,Warner Bros.,95
PG-13,Comedy,6.0,John Hamburg,Ben Stiller,42000000,178311729,Universal Pictures,90
PG,Animation,7.1,Stephen Hillenburg,Tom Kenny,30000000,141067127,Paramount Pictures,87
PG,Adventure,5.1,Raja Gosnell,Freddie Prinze Jr.,80000000,181216833,Warner Bros.,93
R,Comedy,6.2,Ethan Coen,Tom Hanks,35000000,76665191,Touchstone Pictures,104
PG-13,Biography,8.1,Terry George,Don Cheadle,17500000,33882243,United Artists,121
R,Crime,6.2,D.J. Caruso,Angelina Jolie,45000000,65470529,Warner Bros.,103
R,Action,7.7,Stephen Chow,Stephen Chow,20000000,104882445,Columbia Pictures Film Production Asia,99
PG-13,Comedy,5.7,Brian Robbins,Scarlett Johansson,40000000,10898337,Paramount Pictures,93
R,Comedy,7.4,Zach Braff,Zach Braff,2500000,35825316,Camelot Pictures,102
G,Comedy,5.8,Garry Marshall,Anne Hathaway,40000000,134734481,Walt Disney Pictures,113
R,Crime,5.3,Philip Kaufman,Ashley Judd,50000000,40954603,Paramount Pictures,97
PG-13,Action,3.4,Pitof,Halle Berry,100000000,82102379,Warner Bros.,104
R,Comedy,4.8,Don Mancini,Jennifer Tilly,12000000,24829644,Rogue Pictures,87
R,Drama,7.4,Kar-Wai Wong,Tony Chiu-Wai Leung,12000000,20205757,Jet Tone Production,129
PG-13,Action,4.1,Joseph Kahn,Martin Henderson,40000000,46546197,Warner Bros.,84
PG-13,Biography,7.7,Taylor Hackford,Jamie Foxx,40000000,123971376,Universal Pictures,152
PG-13,Comedy,6.1,Andy Cadiff,Mandy Moore,23000000,12313323,Alcon Entertainment,111
PG-13,Drama,6.5,David Koepp,Johnny Depp,40000000,92913171,Grand Slam Productions,96
PG-13,Comedy,6.2,Gurinder Chadha,Martin Henderson,7000000,24716440,Pathé Pictures International,122
PG,Biography,7.7,Marc Forster,Johnny Depp,25000000,116650613,Miramax,106
R,Action,7.2,Trey Parker,Trey Parker,32000000,50826898,Paramount Pictures,98
PG,Comedy,5.4,Joe Nussbaum,Alexa PenaVega,10000000,10143022,Metro-Goldwyn-Mayer (MGM),89
PG-13,Horror,5.9,Takashi Shimizu,Sarah Michelle Gellar,10000000,187281115,Columbia Pictures,91
PG,Action,5.9,Frank Coraci,Jackie Chan,110000000,72178895,Walt Disney Pictures,120
PG-13,Comedy,6.3,Richard Loncraine,Kirsten Dunst,31000000,41682237,Universal Pictures,98
PG,Action,3.7,Robert Rodriguez,Cayden Boyd,50000000,71992655,Dimension Films,93
G,Animation,6.6,Robert Zemeckis,Tom Hanks,165000000,314215454,Castle Rock Entertainment,100
PG-13,Adventure,5.9,Steven Brill,Matthew Lillard,19000000,73029190,Paramount Pictures,95
PG,Biography,7.5,Gavin O'Connor,Kurt Russell,28000000,64445708,Pop Pop Productions,135
R,Crime,6.4,Renny Harlin,Val Kilmer,27000000,21148829,Dimension Films,106
PG,Comedy,5.9,Martha Coolidge,Julia Stiles,22000000,37666766,Lions Gate Films,111
PG-13,Action,4.5,Tim Story,Queen Latifah,25000000,71255003,Twentieth Century Fox,97
PG-13,Drama,7.0,Paul McGuigan,Josh Hartnett,30000000,21741598,Metro-Goldwyn-Mayer (MGM),114
PG-13,Action,6.5,David R. Ellis,Kim Basinger,25000000,57678321,New Line Cinema,94
R,Biography,7.1,Bill Condon,Liam Neeson,11000000,17050017,Fox Searchlight Pictures,118
PG-13,Action,4.7,Dwight H. Little,Morris Chestnut,20000000,70992898,Screen Gems,97
PG,Comedy,4.7,Sara Sugarman,Lindsay Lohan,15000000,33251890,Walt Disney Pictures,89
PG-13,Comedy,6.0,Garry Marshall,Kate Hudson,50000000,49718611,Touchstone Pictures,119
PG,Comedy,4.3,Joel Zwick,Kenan Thompson,26000000,48551322,Twentieth Century Fox,93
PG,Action,6.0,Kerry Conran,Gwyneth Paltrow,70000000,57947036,Paramount Pictures,106
PG-13,Comedy,5.3,Frank Oz,Nicole Kidman,90000000,103370127,Paramount Pictures,93
PG-13,Comedy,6.1,Peter Chelsom,Richard Gere,50000000,170128460,Miramax,106
PG-13,Action,6.3,Brett Ratner,Pierce Brosnan,60000000,62657868,New Line Cinema,97
R,Drama,7.6,Jean-Pierre Jeunet,Audrey Tautou,56600000,69424389,2003 Productions,133
PG-13,Drama,5.8,Joseph Ruben,Julianne Moore,42000000,117592831,Revolution Studios,91
PG-13,Action,6.1,John Moore,Dennis Quaid,45000000,35021497,Twentieth Century Fox,113
PG-13,Comedy,6.7,Brian Dannelly,Jena Malone,5000000,10275509,United Artists,92
PG,Animation,5.0,Peter Hewitt,Breckin Meyer,50000000,203172417,Twentieth Century Fox,80
PG-13,Comedy,6.4,Paul Weitz,Dennis Quaid,26000000,61315215,Universal Pictures,109
PG,Comedy,5.1,Forest Whitaker,Katie Holmes,30000000,10592180,New Regency Productions,106
PG-13,Comedy,6.2,Kevin Smith,Ben Affleck,35000000,35492921,Miramax,102
PG-13,Drama,6.0,John Lee Hancock,Dennis Quaid,107000000,25819961,Touchstone Pictures,137
PG,Family,5.9,Sean McNamara,Hilary Duff,15000000,14867514,New Line Cinema,103
PG-13,Action,6.7,Joe Johnston,Viggo Mortensen,100000000,108040622,Touchstone Pictures,136
R,Comedy,6.0,Beeban Kidron,Renée Zellweger,40000000,265126918,Universal Pictures,108
R,Crime,7.2,Jacob Estes,Rory Culkin,500000,802948,Whitewater Films,90
PG-13,Drama,6.0,Guy Ferland,Diego Luna,25000000,27685016,Lions Gate Films,86
PG-13,Action,5.3,Angela Robinson,Sara Foster,3500000,97446,Screen Gems,91
R,Comedy,5.7,Jay Chandrasekhar,Jay Chandrasekhar,8600000,7565807,Broken Lizard Industries,104
NC-17,Crime,7.4,Pedro Almodóvar,Gael García Bernal,5000000,40423279,Canal+ España,106
R,Comedy,4.5,Jessy Terrero,Dwayne Adway,16000000,14821824,Metro-Goldwyn-Mayer (MGM),86
R,Crime,8.0,Kim Ki-duk,Seung-Yun Lee,1000000,3403957,Kim Ki-Duk Film,88
PG,Action,4.3,Jonathan Frakes,Bill Paxton,57000000,28283637,Working Title Films,95
PG,Comedy,5.0,Dennie Gordon,Mary-Kate Olsen,30000000,21289826,Warner Bros.,91
R,Drama,6.2,Jonathan Glazer,Nicole Kidman,20000000,23925492,New Line Cinema,100
PG-13,Drama,6.2,Mira Nair,Reese Witherspoon,23000000,19463185,Focus Features,141
R,Horror,5.1,Renny Harlin,Stellan Skarsgård,80000000,78110021,Morgan Creek Entertainment,114
NC-17,Comedy,5.1,John Waters,Tracey Ullman,15000000,1914166,Fine Line Features,89
R,Comedy,6.6,David O. Russell,Jason Schwartzman,20000000,20094909,Fox Searchlight Pictures,107
R,Comedy,6.7,Tod Williams,Jeff Bridges,7500000,6715067,Focus Features,111
PG-13,Comedy,5.5,Howard Deutch,Bruce Willis,40000000,26170671,Nine Yards Two Productions,98
PG-13,Comedy,4.8,Barry Levinson,Ben Stiller,40000000,14494036,Dreamworks Pictures,99
R,Comedy,6.2,Charles Shyer,Jude Law,60000000,35060882,Paramount Pictures,103
PG,Comedy,1.9,Bob Clark,Jon Voight,20000000,9448644,ApolloMedia Distribution,88
PG-13,Comedy,4.5,Christopher Erskin,Cedric the Entertainer,12000000,31326183,Fox Searchlight Pictures,97
R,Action,6.5,David Mamet,Val Kilmer,19250000,8112712,Franchise Pictures,106
PG,Animation,5.4,Will Finn,Judi Dench,110000000,145358062,Walt Disney Pictures,76
PG,Comedy,5.4,Joe Roth,Tim Allen,60000000,96593018,Revolution Studios,99
PG-13,Comedy,5.6,Robert Luketic,Kate Bosworth,22000000,21513434,Dreamworks Pictures,95
R,Action,6.4,Timur Bekmambetov,Konstantin Khabenskiy,4200000,50336279,Bazelevs Production,114
R,Drama,7.0,Michael Radford,Al Pacino,30000000,21560182,Movision,131
PG-13,Action,6.5,Jay Russell,Joaquin Phoenix,55000000,100572044,Touchstone Pictures,115
PG-13,Drama,3.9,Chris Stokes,Omarion,8000000,50576805,Screen Gems,95
PG-13,Biography,6.7,Kevin Spacey,Kevin Spacey,23000000,8447615,Lions Gate Films,118
R,Comedy,6.5,Michael Clancy,Ray Romano,6500000,89781,Eulogy Productions LLC,91
PG-13,Comedy,4.9,George Armitage,Owen Wilson,50000000,6808550,Shangri-La Entertainment,88
Not Rated,Drama,7.8,Yash Chopra,Shah Rukh Khan,7000000,6887221,Yash Raj Films,192
PG-13,Comedy,5.3,Nick Hurran,Brittany Murphy,35000000,22035509,Revolution Studios,107
PG-13,Comedy,5.9,Peter Howitt,Pierce Brosnan,32000000,30031874,Deep River Productions,90
R,Crime,7.4,Joshua Marston,Catalina Sandino Moreno,3000000,12594630,HBO Films,101
R,Crime,7.6,Mike Leigh,Imelda Staunton,11000000,13267869,Les Films Alain Sarde,125
R,Biography,7.3,Michael Dowse,Paul Kaye,2000000,1635056,True West Films,90
PG,Action,5.2,Bart Freundlich,Kristen Stewart,12000000,16951702,Fox 2000 Pictures,91
R,Action,8.0,Je-kyu Kang,Jang Dong-Gun,12800000,76287982,Kang Je-Kyu Film Co. Ltd.,140
R,Comedy,5.3,Spike Lee,Anthony Mackie,8000000,1526951,40 Acres & A Mule Filmworks,138
PG-13,Comedy,5.2,Donald Petrie,Gene Hackman,30000000,14615099,Twentieth Century Fox,110
G,Animation,5.4,Robert C. Ramirez,John Ritter,70000,3255426,Big Red Dog Productions,74
PG-13,Adventure,7.7,Mike Newell,Daniel Radcliffe,150000000,896678241,Warner Bros.,157
R,Comedy,7.1,Judd Apatow,Steve Carell,26000000,177378645,Universal Pictures,116
PG-13,Drama,7.3,Rob Marshall,Ziyi Zhang,85000000,162242962,Columbia Pictures,145
PG,Drama,7.8,Joe Wright,Keira Knightley,28000000,121616555,Focus Features,129
PG-13,Action,8.2,Christopher Nolan,Christian Bale,150000000,373661946,Warner Bros.,140
R,Drama,7.7,Ang Lee,Jake Gyllenhaal,14000000,178062759,Focus Features,134
R,Crime,8.0,Frank Miller,Mickey Rourke,40000000,158733820,Dimension Films,124
PG,Adventure,6.6,Tim Burton,Johnny Depp,150000000,474968763,Warner Bros.,115
R,Action,8.1,James McTeigue,Hugo Weaving,54000000,132511035,Warner Bros.,132
PG,Adventure,6.9,Andrew Adamson,Tilda Swinton,180000000,745013115,Walt Disney Pictures,143
R,Comedy,6.9,David Dobkin,Owen Wilson,40000000,288467645,New Line Cinema,119
PG-13,Adventure,6.5,Steven Spielberg,Tom Cruise,132000000,603873119,Paramount Pictures,116
R,Action,7.2,Ridley Scott,Orlando Bloom,130000000,218122627,Twentieth Century Fox,144
R,Action,7.0,Francis Lawrence,Keanu Reeves,100000000,230884728,Warner Bros.,121
PG-13,Action,7.5,George Lucas,Hayden Christensen,113000000,868390560,Lucasfilm,140
PG-13,Action,7.2,Peter Jackson,Naomi Watts,207000000,562363449,Universal Pictures,187
PG,Adventure,6.7,Garth Jennings,Martin Freeman,50000000,104478416,Touchstone Pictures,109
PG-13,Action,5.7,Tim Story,Ioan Gruffudd,100000000,333535934,Twentieth Century Fox,106
PG-13,Action,7.8,Joss Whedon,Nathan Fillion,39000000,40445129,Universal Pictures,119
PG-13,Action,6.5,Doug Liman,Brad Pitt,110000000,487287646,New Regency Productions,120
PG-13,Action,6.8,Michael Bay,Scarlett Johansson,126000000,162949164,Dreamworks Pictures,136
R,Comedy,6.7,Rob McKittrick,Ryan Reynolds,3000000,18637690,Eden Rock Media,94
R,Drama,7.6,Woody Allen,Scarlett Johansson,15000000,85638656,BBC Films,124
R,Horror,5.9,Eli Roth,Jay Hernandez,4800000,81979826,Next Entertainment,94
PG,Adventure,6.2,Mike Mitchell,Kurt Russell,35000000,86369815,Walt Disney Pictures,100
R,Action,6.3,Jean-François Richet,Ethan Hawke,30000000,35294470,Rogue Pictures,109
PG,Animation,6.9,Eric Darnell,Chris Rock,75000000,542063846,DreamWorks Animation,86
R,Drama,7.1,David Slade,Patrick Wilson,950000,7022209,Lions Gate Films,104
PG,Comedy,6.5,Ken Kwapis,Amber Tamblyn,25000000,42013878,Alcon Entertainment,119
PG-13,Comedy,6.4,Peter Segal,Adam Sandler,82000000,191466556,Paramount Pictures,113
PG-13,Thriller,6.5,Wes Craven,Rachel McAdams,26000000,96258201,Dreamworks Pictures,85
R,Horror,5.4,Jaume Collet-Serra,Chad Michael Murray,40000000,68766121,Warner Bros.,113
R,Action,6.8,John Singleton,Mark Wahlberg,45000000,92374674,Paramount Pictures,109
PG-13,Comedy,5.1,Jay Chandrasekhar,Seann William Scott,50000000,111069515,Warner Bros.,104
PG-13,Crime,6.4,Sydney Pollack,Nicole Kidman,80000000,162944923,Universal Pictures,128
PG-13,Biography,7.8,James Mangold,Joaquin Phoenix,28000000,186797986,Fox 2000 Pictures,136
PG-13,Biography,7.1,Catherine Hardwicke,Heath Ledger,25000000,13411957,Columbia Pictures,107
R,Action,7.5,Steven Spielberg,Eric Bana,70000000,130982129,Dreamworks Pictures,164
R,Comedy,7.5,Shane Black,Robert Downey Jr.,15000000,15785148,Warner Bros.,103
R,Drama,7.4,Fernando Meirelles,Ralph Fiennes,25000000,82468097,Focus Features,129
PG,Action,5.6,Adam Shankman,Vin Diesel,56000000,198636868,Walt Disney Pictures,95
R,Drama,7.4,David Cronenberg,Viggo Mortensen,32000000,61385065,New Line Cinema,96
R,Horror,6.8,Rob Zombie,Sid Haig,7000000,20901859,Lions Gate Films,107
PG-13,Comedy,6.6,Andy Tennant,Will Smith,70000000,371594210,Columbia Pictures,118
PG,Adventure,6.8,Dave McKean,Stephanie Leonidas,4000000,866999,Destination Films,101
PG-13,Drama,6.9,Chris Columbus,Taye Diggs,40000000,31670620,Rent Productions LLC,135
PG,Animation,6.3,Chris Wedge,Ewan McGregor,75000000,262511490,Twentieth Century Fox Animation,91
R,Action,7.0,Sam Mendes,Jake Gyllenhaal,72000000,97076152,Universal Pictures,125
PG-13,Action,5.9,John Stockwell,Paul Walker,50000000,46117696,Columbia Pictures,110
R,Horror,6.6,Darren Lynn Bousman,Donnie Wahlberg,4000000,147748505,Twisted Pictures,93
PG-13,Drama,6.3,Robert Schwentke,Jodie Foster,55000000,223387299,Touchstone Pictures,98
PG-13,Biography,7.3,Thomas Carter,Samuel L. Jackson,30000000,76669554,Coach Carter,136
PG-13,Drama,5.6,Walter Salles,Jennifer Connelly,30000000,68357079,Touchstone Pictures,105
R,Action,7.6,Andrew Niccol,Nicolas Cage,50000000,72617068,Entertainment Manufacturing Company,122
PG,Action,6.2,Jon Favreau,Josh Hutcherson,65000000,65079104,Columbia Pictures,101
R,Crime,6.2,Jamie Babbit,Camilla Belle,900000,381420,Andrea Sperling Productions,96
R,Horror,6.0,Andrew Douglas,Ryan Reynolds,19000000,107516369,Metro-Goldwyn-Mayer (MGM),90
PG-13,Comedy,5.6,F. Gary Gray,John Travolta,53000000,95763716,Metro-Goldwyn-Mayer (MGM),118
PG,Comedy,5.5,Raja Gosnell,Dennis Quaid,45000000,72662923,Paramount Pictures,88
PG-13,Biography,8.0,Ron Howard,Russell Crowe,88000000,108539911,Universal Pictures,144
PG,Comedy,6.6,Kirk Jones,Emma Thompson,25000000,123276807,Universal Pictures,97
PG-13,Action,5.9,Terry Gilliam,Matt Damon,88000000,105316267,Dimension Films,118
PG-13,Action,6.0,Breck Eisner,Matthew McConaughey,130000000,119240351,Paramount Pictures,124
PG,Animation,7.3,Tim Burton,Johnny Depp,40000000,118090836,Warner Bros.,77
R,Action,6.3,Louis Leterrier,Jason Statham,32000000,89083229,EuropaCorp,87
R,Crime,6.3,D.J. Caruso,Matthew McConaughey,35000000,30526509,Universal Pictures,122
PG-13,Biography,6.7,Terrence Malick,Colin Farrell,30000000,49334775,New Line Cinema,135
R,Action,7.3,Rian Johnson,Joseph Gordon-Levitt,475000,3947579,Bergman Lustig Productions,110
R,Horror,6.2,Greg McLean,Nathan Phillips,1000000,30894796,Australian Film Finance Corporation (AFFC),99
PG-13,Drama,6.7,Scott Derrickson,Laura Linney,19000000,145166804,Screen Gems,119
PG-13,Action,4.7,Rob Bowman,Jennifer Garner,43000000,56995646,Twentieth Century Fox,97
R,Action,5.2,Andrzej Bartkowiak,Karl Urban,60000000,58072119,John Wells Productions,105
PG,Action,6.0,Martin Campbell,Antonio Banderas,75000000,142400065,Columbia Pictures,129
PG,Adventure,5.5,Adam Shankman,Steve Martin,60000000,130154568,Twentieth Century Fox,94
PG-13,Action,5.5,Karyn Kusama,Charlize Theron,62000000,53321673,Paramount Pictures,93
PG,Comedy,2.2,Lawrence Guterman,Jamie Kennedy,84000000,59981548,New Line Cinema,94
PG-13,Comedy,5.5,Rob Reiner,Jennifer Aniston,70000000,88933562,Warner Bros.,97
PG-13,Comedy,6.3,Susan Stroman,Nathan Lane,45000000,38075318,Universal Pictures,134
PG,Comedy,5.6,Jesse Dylan,Will Ferrell,45000000,56070433,Universal Pictures,95
PG-13,Action,5.1,Bruce Hunt,Piper Perabo,30000000,33296457,Screen Gems,97
R,Comedy,7.2,Jim Jarmusch,Bill Murray,10000000,47329961,Focus Features,106
PG-13,Comedy,6.2,Dean Parisot,Jim Carrey,100000000,204681899,Columbia Pictures,90
R,Comedy,6.8,Ol Parker,Piper Perabo,7900000,2635305,BBC Films,90
PG-13,Comedy,6.3,Thomas Bezucha,Dermot Mulroney,18000000,92884429,The Family Stone,103
PG-13,Comedy,6.7,Mark Waters,Reese Witherspoon,58000000,102854431,Dreamworks Pictures,95
R,Biography,7.3,Bennett Miller,Philip Seymour Hoffman,7000000,49327405,United Artists,114
PG-13,Drama,6.5,Iain Softley,Kate Hudson,43000000,93983911,Universal Pictures,104
R,Comedy,7.3,Noah Baumbach,Owen Kline,1500000,11098131,Samuel Goldwyn Films,81
R,Horror,6.2,George A. Romero,John Leguizamo,15000000,47074133,Universal Pictures,93
PG-13,Comedy,5.4,Stephen Herek,Tommy Lee Jones,40000000,21577624,Revolution Studios,100
PG-13,Comedy,6.4,Cameron Crowe,Orlando Bloom,45000000,52164016,Paramount Pictures,123
G,Animation,5.7,Mark Dindal,Zach Braff,150000000,314432837,Walt Disney Pictures,81
PG-13,Comedy,5.6,Robert Luketic,Jennifer Lopez,43000000,155457327,New Line Cinema,101
R,Action,5.9,Tony Scott,Keira Knightley,50000000,22984628,New Line Cinema,127
PG-13,Horror,5.4,Hideo Nakata,Naomi Watts,50000000,163995949,Dreamworks Pictures,110
R,Comedy,4.7,Mike Bigelow,Rob Schneider,22000000,45109561,Columbia Pictures,83
R,Action,6.9,David Ayer,Christian Bale,2000000,5969708,Andrea Sperling Productions,116
PG-13,Comedy,5.8,Darren Grant,Kimberly Elise,5500000,50652203,BET Pictures,116
G,Adventure,4.8,Angela Robinson,Lindsay Lohan,50000000,144146816,Walt Disney Pictures,101
G,Animation,7.4,Steve Box,Peter Sallis,30000000,194137091,Aardman Animations,85
R,Drama,7.1,John Maybury,Adrien Brody,29000000,21733230,Mandalay Pictures,103
PG-13,Comedy,6.2,Clare Kilner,Dermot Mulroney,15000000,47096206,Gold Circle Films,90
R,Comedy,7.6,Jason Reitman,Aaron Eckhart,6500000,39323027,Room 9 Entertainment,92
R,Drama,6.0,John Polson,Robert De Niro,30000000,127369981,Twentieth Century Fox,101
